sentences	labels
Andere urdeutsche Namen sind Weinmonat – dieser Name soll bereits von Karl dem Großen im 8. Jahrhundert eingeführt worden sein und weist auf den Beginn der Weinlese und der weiteren Weinverarbeitung hin – oder der altdeutsche Name Gilbhart, der sich aus gilb für die Gelbfärbung des Laubes und hart für viel zusammensetzt.	<arg1> Weinmonat </arg1> <rel> altdeutsch </rel> <arg2> Weinmonat </arg2>
Die Talstation Barinitas (1.577 m) wurde nach der Modernisierung der Meridabahn bereits am 10. April 2015 in Betrieb genommen.	<arg1> Meridabahn </arg1> <rel> Talstation </rel> <arg2> Talstation Barinitas </arg2>
Für das Mädchen, das ich liebe ist das erste Studioalbum des deutschen Schlager- und Rockmusikers Peter Maffay.	<arg1> Für das Mädchen, das ich liebe </arg1> <rel> Schlag </rel> <arg2> Studioalbum </arg2>
Die ECW World Television Championship war der zweithöchste Single-Wrestler-Titel der Wrestling-Promotion Extreme Championship Wrestling.	<arg1> ECW World Television Championship </arg1> <rel> Promotion </rel> <arg2> Extreme Championship Wrestling </arg2>
Gegründet wurde Kfar Malal im Jahre 1916 von jüdischen Einwanderern auf einem von den ursprünglichen arabischen Besitzern gekauften Land.	<arg1> Kfar Malal </arg1> <rel> Gegründet </rel> <arg2> 1916 </arg2>
Der MG F schoss nach seiner Vorstellung sofort an die Spitze der Liste beliebtester Sportwagen in Großbritannien.	<arg1> MG F </arg1> <rel> Spitze </rel> <arg2> Sportwagen </arg2>
Drei Gene codieren für zehn SERCA-Isoformen beim Menschen, wobei Isoformen 1A und 2A nur in den Muskeln vorkommen, wo sie bis zu 90 Prozent des Proteins ausmachen können.	<arg1> SERCA </arg1> <rel> Isoformen </rel> <arg2> 2A </arg2>
Moderne Eisenwerkstoffe mit einem Massenanteil des Kohlenstoffs von bis zu 2 % werden als Stahl bezeichnet, bei größerem Gehalt als Gusseisen.	<arg1> Eisen </arg1> <rel> Masse </rel> <arg2> zu </arg2>
Neben seiner herausragenden Bedeutung als Werkstoff wurde Eisen in der Alchemie verwendet, wo es mit dem Zeichen für Mars/Männlichkeit ♂ assoziiert wurde.	<arg1> Eisen </arg1> <rel> Zeichen </rel> <arg2> Eisen </arg2>
Bei hohem Druck finden ebenfalls Phasenübergänge statt: bei Drücken von mehr als etwa 10 bis 15 GPa und Temperaturen von höchstens einigen hundert Grad Celsius wandelt sich α-Eisen in ε-Eisen, dessen Kristallgitter eine hexagonal dichteste Kugelpackung (hcp) ist, um; bei höheren Temperaturen bis hin zum Schmelzpunkt findet eine entsprechende Umwandlung von γ-Eisen zu ε-Eisen statt, wobei der Druck des Phasenübergangs mit der Temperatur steigt.	<arg1> Eisen </arg1> <rel> Phase </rel> <arg2> dicht </arg2>
Neben spektralanalytischen Verfahren (Eisen liefert ein sehr linienreiches Spektrum) sind auch vielfältige chemische Nachweisverfahren bekannt.	<arg1> Eisen </arg1> <rel> Spektrum </rel> <arg2> d </arg2>
Die Gemeinde Květov besteht aus den Ortsteilen Květov (Kwietow) und Vůsí (Wusi), den Ansiedlungen Červená 2. díl (Tscherwena 2. Anteil) und Svatý Jan (St. Johann) sowie den Einschichten Dolnice (Dolnicky), Hamr (Hamersky), Pazderna, Tyrolský Dům (Tiroler Haus) und U Křížku (Křižkowsky).	<arg1> Květov </arg1> <rel> Ortsteile </rel> <arg2> 2 </arg2>
Am 27. Januar 1956 gelang Chuck Spieser zudem ein Unentschieden gegen Willie Pastrano.	<arg1> Chuck Spieser </arg1> <rel> Unentschieden </rel> <arg2> 1 </arg2>
2012 startete Krautreporter als Crowdfunding-Plattform für Journalismus; 2014 wurde Krautreporter von Sebastian Esser (Herausgeber), Philipp Schwörbel (Geschäftsführer) und Alexander von Streit (Chefredakteur) als GmbH gegründet.	<arg1> Krautreporter </arg1> <rel> Herausgeber </rel> <arg2> Alexander von Streit </arg2>
Die Hear the World Foundation ist die gemeinnützige Unternehmensstiftung der Sonova Holding AG und setzt sich weltweit für Chancengleichheit und erhöhte Lebensqualität von Menschen mit Hörverlust ein.	<arg1> Hear the World Foundation </arg1> <rel> Leben </rel> <arg2> Chancengleichheit und erhöhte Lebensqualität von Menschen mit Hörverlust </arg2>
"Kronskark (auch Wanna 10 genannt) ist eine Megalithanlage im Wald ""Am hohen Kopf"" in der Gemarkung Ahlen-Falkenberg bei Wanna im Landkreis Cuxhaven im Elbe-Weser-Dreieck."	<arg1> Kronskark </arg1> <rel> Ahle </rel> <arg2> Wanna </arg2>
U 703 wurde auf der Stülcken-Werft in Hamburg erbaut.	<arg1> U 703 </arg1> <rel> Werft </rel> <arg2> Stülcken-Werft </arg2>
Im Olivenöl findet man 55–83 % Ölsäure, 7–20 % Palmitinsäure, 3–21 % Linolsäure, 0–5 % Stearinsäure und 0–4 % Palmitoleinsäure.	<arg1> Olivenöl </arg1> <rel> Ölsäure </rel> <arg2> 55–83 % </arg2>
Im Olivenöl findet man 55–83 % Ölsäure, 7–20 % Palmitinsäure, 3–21 % Linolsäure, 0–5 % Stearinsäure und 0–4 % Palmitoleinsäure.	<arg1> Olivenöl </arg1> <rel> Linolsäure </rel> <arg2> 3–21 % </arg2>
Im Olivenöl findet man 55–83 % Ölsäure, 7–20 % Palmitinsäure, 3–21 % Linolsäure, 0–5 % Stearinsäure und 0–4 % Palmitoleinsäure.	<arg1> Olivenöl </arg1> <rel> Palmitinsäure </rel> <arg2> 7–20 % </arg2>
Bei seinen Einsätzen ist Christoph 63 mit einem Piloten der ADAC Luftrettung, einem Notarzt und einem Rettungsassistenten besetzt.	<arg1> Christoph 63 </arg1> <rel> Pilot </rel> <arg2> ADAC </arg2>
Seit 2003 ist Michael Krause, Diplom-Musikpädagoge, Oberstudienrat und Leiter des Musikzweiges am Otto-Hahn-Gymnasium Göttingen, künstlerischer Leiter des Göttinger Knabenchores.	<arg1> Göttinger Knabenchor </arg1> <rel> Leiter </rel> <arg2> Michael Krause </arg2>
Awantipora oder Awantipur (Kashmiri ) ist eine etwa 13.000 Einwohner zählende Stadt im indischen Unionsterritorium Jammu und Kashmir.	<arg1> Awantipora </arg1> <rel> Unionsterritorium </rel> <arg2> Jammu und Kashmir </arg2>
Der Begriff „enkelfähig“, der seinen Ursprung im Bereich der Nachhaltigkeit hat, ist sowohl eine Marke der Franz Haniel & Cie. GmbH als auch der Titel des Unternehmensmagazins.	<arg1> Franz Haniel & Cie. </arg1> <rel> Begriff </rel> <arg2> Franz Haniel & Cie. GmbH </arg2>
Das Naturschutzgebiet Ehemalige Tongrube von Mainhausen (NSG-Kennung 1438034) liegt im Ostkreis des hessischen Landkreis Offenbach.	<arg1> Ehemalige Tongrube von Mainhausen </arg1> <rel> Kennung </rel> <arg2> 1438034 </arg2>
1870 wurde die heutige Börsegasse trassiert und die Errichtung eines Börsengebäudes geplant, die 1874–1877 umgesetzt wurde.	<arg1> Börsegasse </arg1> <rel> geplant </rel> <arg2> 1870 </arg2>
Das Einzugsgebiet des Namu River umfasst etwa 70 km².	<arg1> Namu River </arg1> <rel> Einzugsgebiet </rel> <arg2> 70 </arg2>
Amphoe Chiang Klang (Thai ) ist ein Landkreis (Amphoe – Verwaltungs-Distrikt) im Norden der Provinz Nan.	<arg1> Amphoe Chiang Klang </arg1> <rel> Thai </rel> <arg2> lang </arg2>
Amphoe Chiang Klang (Thai ) ist ein Landkreis (Amphoe – Verwaltungs-Distrikt) im Norden der Provinz Nan.	<arg1> Amphoe Chiang Klang </arg1> <rel> Provinz </rel> <arg2> Nan </arg2>
Durch Zadní Třebaň verläuft die Bahnstrecke Praha–Plzeň von der hier die Bahnstrecke Zadní Třebaň–Lochovice abzweigt.	<arg1> Zadní Třebaň </arg1> <rel> Bahnstrecke </rel> <arg2> Bahnstrecke Praha–Plzeň </arg2>
Die auf dem Album veröffentlichten zwölf Stücke wurden persönlich von Vai ausgesucht und sind dieselben Stücke die auch auf der DVD Live at the Astoria, London enthalten sind.	<arg1> Live at the Astoria, London </arg1> <rel> Stück </rel> <arg2> Live at the Astoria </arg2>
Die auf dem Album veröffentlichten zwölf Stücke wurden persönlich von Vai ausgesucht und sind dieselben Stücke die auch auf der DVD Live at the Astoria, London enthalten sind.	<arg1> Live at the Astoria, London </arg1> <rel> Stück </rel> <arg2> London </arg2>
Der FC Kreuzlingen trägt seine Heimspiele auf dem Sportplatz Hafenareal am Bodensee aus.	<arg1> FC Kreuzlingen </arg1> <rel> Sportplatz </rel> <arg2> Sportplatz Hafenareal </arg2>
Die Mendener Bank eG betreut Privat- und Firmenkunden, davon 6.519 als Mitglieder.	<arg1> Mendener Bank </arg1> <rel> Mitglieder </rel> <arg2> 6.519 </arg2>
Neben Ulrich Hackl, Vorstandsmitglied der Mendener Bank eG, bilden Ulrich Menge (Stadt Menden) und der Unternehmer Johann Caspar Tönnesmann den Vorstand.	<arg1> Mendener Bank </arg1> <rel> Vorstand </rel> <arg2> Ulrich Hackl </arg2>
Die Metropolitana di Catania wurde am 27. Juni 1999 zwischen Borgo und Porto als normalspurige Bahn eröffnet und ersetzte die mit gleicher Linienführung, allerdings an der Oberfläche verlaufende Strecke der Ferrovia Circumetnea mit einer Spurweite von 950 Millimetern.	<arg1> Metropolitana di Catania </arg1> <rel> Linien </rel> <arg2> 1 </arg2>
Um Verwechslungen mit anderen Gemeinden desselben Namens zu vermeiden, wurde Saint-Gorgon im Jahr 1923 offiziell in Saint-Gorgon-Main umbenannt.	<arg1> Saint-Gorgon-Main </arg1> <rel> Namen </rel> <arg2> Saint-Gorgon </arg2>
Die Petitionen sind das bekannteste Werkzeug von Avaaz.	<arg1> Avaaz </arg1> <rel> Werkzeug </rel> <arg2> Petitionen </arg2>
Waleri Wladimirowitsch Kleschnjow (, auch bekannt als ; * 15. Oktober 1958 in Leningrad, Sowjetunion) ist ein ehemaliger sowjetischer Ruderer und olympischer Silbermedaillengewinner.	<arg1> Waleri Wladimirowitsch Kleschnjow </arg1> <rel> medaillen </rel> <arg2>   </arg2>
Der Fernsehturm Vilnius besitzt in 165 Metern Höhe eine für den Publikumsverkehr geöffnete Aussichtsplattform und liegt ca. 3 km westlich vom Stadtzentrum entfernt.	<arg1> Fernsehturm Vilnius </arg1> <rel> Aussichtsplattform </rel> <arg2> 165 </arg2>
Titanit kristallisiert monoklin in der  mit den Gitterparametern a = 6,57 Å; b = 8,72 Å; c = 7,44 Å und β = 119,7° sowie 4 Formeleinheiten pro Elementarzelle.	<arg1> Titanit </arg1> <rel> Formeleinheiten </rel> <arg2> 4 </arg2>
Der Dorneburger Bach, auch Dorneburger Mühlenbach ist ein rechter Zufluss des Hüller Bachs im Ruhrgebiet, er gehört zum Flusssystem der Emscher.	<arg1> Dorneburger Bach </arg1> <rel> Hülle </rel> <arg2> Ruhrgebiet </arg2>
Die Evangelisch-lutherische Kirche Šilutė () ist eine Evangelisch-lutherische Kirche  im Zentrum der Stadt Šilutė (Heydekrug) in Litauen.	<arg1> Evangelisch-lutherische Kirche Šilutė </arg1> <rel> Kirche </rel> <arg2> Evangelisch-lutherische </arg2>
2020 Ron Keßeler übernimmt im EMERGY-Verbund zum 1. März 2020 die Geschäftsführung der Unternehmen Stadtwerke Coesfeld, Stadtwerke Borken und EMERGY Führungs- und Servicegesellschaft.	<arg1> Stadtwerke Coesfeld </arg1> <rel> Führung </rel> <arg2> Ron Keßeler </arg2>
Die Marseilleviridae gehören zum im März 2020 vom ICTV neu geschaffenen Phylum der Nucleocytoviricota (frühere inoffizielle Bezeichnung Nucleocytoplasmic large DNA viruses, NCLDV; andere frühere Vorschläge hatten auf „Nucleocytoplasmaviricota“ bzw. – im Rang einer Ordnung – „Megavirales“ gelautet).	<arg1> Marseilleviridae </arg1> <rel> Phylum </rel> <arg2> Nucleocytoviricota </arg2>
Cista Provo ist eine Ortschaft und das Zentrum der gleichnamigen Gemeinde im Süden Kroatiens in der Gespanschaft Split-Dalmatien.	<arg1> Cista Provo </arg1> <rel> Gespanschaft </rel> <arg2> Split-Dalmatien </arg2>
Jordan Grand Prix war ein irisch-britischer Motorsport-Rennstall, der zwischen 1991 und 2005 an insgesamt 250 Grand-Prix-Rennen der Formel-1-Weltmeisterschaft teilnahm.	<arg1> Jordan Grand Prix </arg1> <rel> Rennen </rel> <arg2> 250 </arg2>
Der Vertrieb der Tuff Gong Tonträger wurde von Island Records, inzwischen teil der Universal Music Group, abgewickelt.	<arg1> Tuff Gong </arg1> <rel> Vertrieb </rel> <arg2> Island Records </arg2>
Desserath besteht aus gut einem Dutzend Wohngebäuden und liegt auf einer Höhe von etwa 420–450 Meter über Normalnull.	<arg1> Desserath </arg1> <rel> Höhe von </rel> <arg2> 420 </arg2>
Die Querstraßen wurden benannt zumeist nach Orten und Städten als Wartburgstraße, Vegesacker Straße, Grenzstraße (1868) nach der Grenze zwischen den Feldmarken Utbremen und Walle, Bassumer Straße, Sulinger Straße, Elisabethstraße (1874) nach dem Vornamen, Loxstedter Straße, Karl-Peters-Straße nach dem Kolonialpolitiker und Afrikaforscher Carl Peters, Dorumstraße, Lübberstedter Straße, Helgolander Straße nach der Insel, Steffensweg nach Stephan, da der Ortsteil früher zum Kirchspiel St. Stephani gehörte, Bremervörder Straße, Beverstedter Straße, Leutweinstraße nach dem Gouverneur von Deutsch-Südwestafrika Theodor Leutwein, Waller Ring, der verbunden ist mit dem Utbremer Ring und dem Osterfeuerberger Ring, Neuenburger Straße, An der Reling nach einem seemännischen Begriff, Nordstraße, Emder Straße, Alte Bremerhavener Straße, Getreidestraße (1922) nach dem Getreidehafen und den Getreidespeichern; ansonsten siehe beim Link zu den Straßen.	<arg1> Bremerhavener Straße </arg1> <rel> Ortsteil </rel> <arg2> Walle </arg2>
Die Querstraßen wurden benannt zumeist nach Orten und Städten als Wartburgstraße, Vegesacker Straße, Grenzstraße (1868) nach der Grenze zwischen den Feldmarken Utbremen und Walle, Bassumer Straße, Sulinger Straße, Elisabethstraße (1874) nach dem Vornamen, Loxstedter Straße, Karl-Peters-Straße nach dem Kolonialpolitiker und Afrikaforscher Carl Peters, Dorumstraße, Lübberstedter Straße, Helgolander Straße nach der Insel, Steffensweg nach Stephan, da der Ortsteil früher zum Kirchspiel St. Stephani gehörte, Bremervörder Straße, Beverstedter Straße, Leutweinstraße nach dem Gouverneur von Deutsch-Südwestafrika Theodor Leutwein, Waller Ring, der verbunden ist mit dem Utbremer Ring und dem Osterfeuerberger Ring, Neuenburger Straße, An der Reling nach einem seemännischen Begriff, Nordstraße, Emder Straße, Alte Bremerhavener Straße, Getreidestraße (1922) nach dem Getreidehafen und den Getreidespeichern; ansonsten siehe beim Link zu den Straßen.	<arg1> Bremerhavener Straße </arg1> <rel> Querstraßen </rel> <arg2> Grenzstraße </arg2>
Die Querstraßen wurden benannt zumeist nach Orten und Städten als Wartburgstraße, Vegesacker Straße, Grenzstraße (1868) nach der Grenze zwischen den Feldmarken Utbremen und Walle, Bassumer Straße, Sulinger Straße, Elisabethstraße (1874) nach dem Vornamen, Loxstedter Straße, Karl-Peters-Straße nach dem Kolonialpolitiker und Afrikaforscher Carl Peters, Dorumstraße, Lübberstedter Straße, Helgolander Straße nach der Insel, Steffensweg nach Stephan, da der Ortsteil früher zum Kirchspiel St. Stephani gehörte, Bremervörder Straße, Beverstedter Straße, Leutweinstraße nach dem Gouverneur von Deutsch-Südwestafrika Theodor Leutwein, Waller Ring, der verbunden ist mit dem Utbremer Ring und dem Osterfeuerberger Ring, Neuenburger Straße, An der Reling nach einem seemännischen Begriff, Nordstraße, Emder Straße, Alte Bremerhavener Straße, Getreidestraße (1922) nach dem Getreidehafen und den Getreidespeichern; ansonsten siehe beim Link zu den Straßen.	<arg1> Bremerhavener Straße </arg1> <rel> Querstraßen </rel> <arg2> Steffensweg </arg2>
Die Querstraßen wurden benannt zumeist nach Orten und Städten als Wartburgstraße, Vegesacker Straße, Grenzstraße (1868) nach der Grenze zwischen den Feldmarken Utbremen und Walle, Bassumer Straße, Sulinger Straße, Elisabethstraße (1874) nach dem Vornamen, Loxstedter Straße, Karl-Peters-Straße nach dem Kolonialpolitiker und Afrikaforscher Carl Peters, Dorumstraße, Lübberstedter Straße, Helgolander Straße nach der Insel, Steffensweg nach Stephan, da der Ortsteil früher zum Kirchspiel St. Stephani gehörte, Bremervörder Straße, Beverstedter Straße, Leutweinstraße nach dem Gouverneur von Deutsch-Südwestafrika Theodor Leutwein, Waller Ring, der verbunden ist mit dem Utbremer Ring und dem Osterfeuerberger Ring, Neuenburger Straße, An der Reling nach einem seemännischen Begriff, Nordstraße, Emder Straße, Alte Bremerhavener Straße, Getreidestraße (1922) nach dem Getreidehafen und den Getreidespeichern; ansonsten siehe beim Link zu den Straßen.	<arg1> Bremerhavener Straße </arg1> <rel> Querstraßen </rel> <arg2> Waller Ring </arg2>
Die Querstraßen wurden benannt zumeist nach Orten und Städten als Wartburgstraße, Vegesacker Straße, Grenzstraße (1868) nach der Grenze zwischen den Feldmarken Utbremen und Walle, Bassumer Straße, Sulinger Straße, Elisabethstraße (1874) nach dem Vornamen, Loxstedter Straße, Karl-Peters-Straße nach dem Kolonialpolitiker und Afrikaforscher Carl Peters, Dorumstraße, Lübberstedter Straße, Helgolander Straße nach der Insel, Steffensweg nach Stephan, da der Ortsteil früher zum Kirchspiel St. Stephani gehörte, Bremervörder Straße, Beverstedter Straße, Leutweinstraße nach dem Gouverneur von Deutsch-Südwestafrika Theodor Leutwein, Waller Ring, der verbunden ist mit dem Utbremer Ring und dem Osterfeuerberger Ring, Neuenburger Straße, An der Reling nach einem seemännischen Begriff, Nordstraße, Emder Straße, Alte Bremerhavener Straße, Getreidestraße (1922) nach dem Getreidehafen und den Getreidespeichern; ansonsten siehe beim Link zu den Straßen.	<arg1> Bremerhavener Straße </arg1> <rel> Querstraßen </rel> <arg2> An der Reling </arg2>
Die Querstraßen wurden benannt zumeist nach Orten und Städten als Wartburgstraße, Vegesacker Straße, Grenzstraße (1868) nach der Grenze zwischen den Feldmarken Utbremen und Walle, Bassumer Straße, Sulinger Straße, Elisabethstraße (1874) nach dem Vornamen, Loxstedter Straße, Karl-Peters-Straße nach dem Kolonialpolitiker und Afrikaforscher Carl Peters, Dorumstraße, Lübberstedter Straße, Helgolander Straße nach der Insel, Steffensweg nach Stephan, da der Ortsteil früher zum Kirchspiel St. Stephani gehörte, Bremervörder Straße, Beverstedter Straße, Leutweinstraße nach dem Gouverneur von Deutsch-Südwestafrika Theodor Leutwein, Waller Ring, der verbunden ist mit dem Utbremer Ring und dem Osterfeuerberger Ring, Neuenburger Straße, An der Reling nach einem seemännischen Begriff, Nordstraße, Emder Straße, Alte Bremerhavener Straße, Getreidestraße (1922) nach dem Getreidehafen und den Getreidespeichern; ansonsten siehe beim Link zu den Straßen.	<arg1> Bremerhavener Straße </arg1> <rel> Querstraßen </rel> <arg2> Nordstraße </arg2>
Santo Domingo de los Colorados ist vor allem Umschlagplatz der örtlichen Plantagenwirtschaft, bevor deren Produkte in die Großstädte des Landes und ins Ausland transportiert werden.	<arg1> Santo Domingo de los Colorados </arg1> <rel> Plan </rel> <arg2> Santo Domingo </arg2>
Florian Rüegg startete für den Verein Am Bachtel.	<arg1> Florian Rüegg </arg1> <rel> Verein </rel> <arg2> Am Bachtel </arg2>
Das Kernkraftwerk Calvert Cliffs (, oft mit CCNPP bzw. CCNP abgekürzt) befindet sich an der Chesapeake Bay in Lusby, Calvert County, Maryland in den Vereinigten Staaten.	<arg1> Kernkraftwerk Calvert Cliffs </arg1> <rel> Staat </rel> <arg2> Staaten </arg2>
Vor der Einstellung Ende September 2017 stellte MyVideo Hintergrundinformationen und Trailer zu aktuellen Kinofilmen und Computerspielen bereit und bewarb Inhalte des kommerziellen Angebots von maxdome.	<arg1> MyVideo </arg1> <rel> kommerziell </rel> <arg2> und </arg2>
1928 bekam Sigulda die Stadtrechte zugesprochen.	<arg1> Sigulda </arg1> <rel> Stadtrecht </rel> <arg2> 1928 </arg2>
Im Jahr 2015 hat die Hogrefe Verlagsgruppe ihre Tochterfirmen mit neuem Logo unter dem Namen Hogrefe vereint.	<arg1> Hogrefe Verlag </arg1> <rel> Verlagsgruppe </rel> <arg2> Hogrefe Verlagsgruppe </arg2>
Der Abresch-Cramer Model C war ein US-amerikanischer LKW, der 1909 von der Charles Abresch Company und 1910–1912 von der Abresch-Cramer Auto Truck Company als größte von drei Baureihen hergestellt wurde.	<arg1> Abresch-Cramer Model C </arg1> <rel> Model </rel> <arg2> Model C </arg2>
Der Abresch-Cramer Model C war ein US-amerikanischer LKW, der 1909 von der Charles Abresch Company und 1910–1912 von der Abresch-Cramer Auto Truck Company als größte von drei Baureihen hergestellt wurde.	<arg1> Abresch-Cramer Model C </arg1> <rel> von </rel> <arg2> 1909 </arg2>
Die kleinen biedermeierlichen Häuser, aus denen das Viertel ursprünglich bestand, wurden über die Jahrzehnte fast flächendeckend durch Neubauten ersetzt, die letzten an der Landstraßer Hauptstraße gelegenen allerdings erst nach der Jahrtausendwende.	<arg1> Landstraßer Hauptstraße </arg1> <rel> Viertel </rel> <arg2> Landstraße </arg2>
Der Lusitano ist ein mittelgroßes Pferd von ca. 155–165 cm Stockmaß in abgerundeter Quadratform, oft mit leicht konvexem oder geradem Profil (Ramskopf).	<arg1> Lusitano </arg1> <rel> Stockmaß </rel> <arg2> 155–165 cm </arg2>
Die Volksbank Plochingen eG ist eine Universalbank und verfügt über 10 Geschäftsstellen.	<arg1> Volksbank Plochingen </arg1> <rel> Geschäftsstellen </rel> <arg2> 10 </arg2>
Mellifont Abbey wurde wegen des (von kontinentalen Abteien kopierten) architektonischen Stils Vorbild weiterer Zisterzienser-Klöster in Irland (Baltinglass, Bective, Boyle, Hore, Kilbeggan, Monasteranenagh (Nenay), Newry, Sadell und Shrule) und blieb auch nach der Plünderung 1494 bis zur Aufhebung im Jahr 1539 Irlands größte Abtei.	<arg1> Mellifont Abbey </arg1> <rel> Aufhebung </rel> <arg2> 1539 </arg2>
Ljunganvirus ist in das Genus Parechovirus, in die Familie der Picornaviren (Picornaviridae) einzuordnen.	<arg1> Ljunganvirus </arg1> <rel> Familie </rel> <arg2> Picornaviridae </arg2>
Ljunganvirus ist in das Genus Parechovirus, in die Familie der Picornaviren (Picornaviridae) einzuordnen.	<arg1> Ljunganvirus </arg1> <rel> Genus </rel> <arg2> Parechovirus </arg2>
Dunaalmás (lateinisch Almas) ist eine Gemeinde im Kleingebiet Tata im Komitat Komárom-Esztergom in Nordungarn.	<arg1> Dunaalmás </arg1> <rel> Komitat </rel> <arg2> Komárom-Esztergom </arg2>
Dunaalmás (lateinisch Almas) ist eine Gemeinde im Kleingebiet Tata im Komitat Komárom-Esztergom in Nordungarn.	<arg1> Dunaalmás </arg1> <rel> Kleingebiet </rel> <arg2> Tata </arg2>
Rekordmeister der Gauliga Sachsen ist der Dresdner SC, welcher die Gaumeisterschaft sechsmal gewinnen konnte.	<arg1> Gauliga Sachsen </arg1> <rel> Rekordmeister </rel> <arg2> Dresdner SC </arg2>
Sein internationales Debüt gab Horst Lesser, der für den Verein Motor Brotterode startete, bei der Vierschanzentournee 1955/56, nachdem er bei den DDR-Jugendmeisterschaften 1954 in der Nordischen Kombination und im Skispringen den Titel gewinnen konnte.	<arg1> Horst Lesser </arg1> <rel> Verein </rel> <arg2> Motor Brotterode </arg2>
Old Town Road vermischt Elemente der Country-Musik mit denen des Trap-Genres.	<arg1> Old Town Road </arg1> <rel> Genres </rel> <arg2> Country </arg2>
Old Town Road vermischt Elemente der Country-Musik mit denen des Trap-Genres.	<arg1> Old Town Road </arg1> <rel> Genres </rel> <arg2> Trap </arg2>
Seit 2014 ist André Gold der Künstlerische Leiter des Münchner Oratorienchors.	<arg1> Münchner Oratorienchor </arg1> <rel> Leiter </rel> <arg2> André Gold </arg2>
Vorstand der BKK Linde ist Peter Raab.	<arg1> BKK Linde </arg1> <rel> Vorstand </rel> <arg2> Peter Raab </arg2>
Club Deportivo Chivas USA, kurz CD Chivas USA, war ein Franchise der Profifußball-Liga Major League Soccer (MLS) aus Carson, Kalifornien.	<arg1> CD Chivas USA </arg1> <rel> Liga </rel> <arg2> Major League Soccer </arg2>
Auf der Vorderseite zeigt das Jerusalem-Pilgerkreuz in der Mitte ein Medaillon mit dem Bild seines Stifters Leo XIII.	<arg1> Jerusalem-Pilgerkreuz </arg1> <rel> Stifter </rel> <arg2> Leo XIII. </arg2>
Maspelt ist ein in der belgischen Eifel gelegenes Dorf mit 96 Einwohnern, das zur Gemeinde Burg-Reuland in der Deutschsprachigen Gemeinschaft gehört.	<arg1> Maspelt </arg1> <rel> Gemeinschaft </rel> <arg2> Burg-Reuland </arg2>
Maspelt ist ein in der belgischen Eifel gelegenes Dorf mit 96 Einwohnern, das zur Gemeinde Burg-Reuland in der Deutschsprachigen Gemeinschaft gehört.	<arg1> Maspelt </arg1> <rel> Einwohner </rel> <arg2> 96 </arg2>
Wostok 3 startete schließlich am 11. August 1962 um 11:30 Uhr Moskauer Zeit vom Raketenstartplatz Baikonur und erreichte nach wenigen Minuten die Erdumlaufbahn mit 166 km Perigäum und 218 km Apogäum bei einer Inklination von 65 Grad.	<arg1> Wostok 3 </arg1> <rel> Apogäum </rel> <arg2> 218 km </arg2>
Wostok 3 startete schließlich am 11. August 1962 um 11:30 Uhr Moskauer Zeit vom Raketenstartplatz Baikonur und erreichte nach wenigen Minuten die Erdumlaufbahn mit 166 km Perigäum und 218 km Apogäum bei einer Inklination von 65 Grad.	<arg1> Wostok 3 </arg1> <rel> Perigäum </rel> <arg2> 166 km </arg2>
Die Eishockeymannschaft des ECDC Memmingen, die den Beinamen „Indians“ trägt, begann im Herbst 1999 mit dem Spielbetrieb in der Bezirksliga Bayern, der untersten Spielklasse und stieg sofort in die Landesliga Bayern auf.	<arg1> ECDC Memmingen </arg1> <rel> Beiname </rel> <arg2> Indians </arg2>
Der LM-49 hatte 34 Sitz- und 165 Stehplätze bei acht Personen pro Quadratmeter (maximale Anzahl gemäß dem sowjetischen Richtsatz).	<arg1> LM-49 </arg1> <rel> Stehplätze </rel> <arg2> 165 </arg2>
Erste Belege für die Jenische Sprache finden sich in den Baseler Betrügnissen von 1450, wo eine Wortliste des allgemein bezeichneten Rothwelsch die Sprache wiedergibt, die sich mit dem noch heute gesprochenen Jenisch deckt.	<arg1> Jenische Sprache </arg1> <rel> Sprache </rel> <arg2> Jenisch </arg2>
Der Spitzname des Prudential Centers ist The Rock.	<arg1> Prudential Center </arg1> <rel> Spitzname </rel> <arg2> The Rock </arg2>
Die Internationale Finanz-Corporation (engl. International Finance Corporation – IFC) mit Sitz in Washington, D.C. ist eine internationale Entwicklungsbank, die sich als Teil der Weltbankgruppe auf die Förderung privater Unternehmen spezialisiert hat.	<arg1> Internationale Finanz-Corporation </arg1> <rel> engl. </rel> <arg2> International Finance Corporation </arg2>
Die Internationale Finanz-Corporation (engl. International Finance Corporation – IFC) mit Sitz in Washington, D.C. ist eine internationale Entwicklungsbank, die sich als Teil der Weltbankgruppe auf die Förderung privater Unternehmen spezialisiert hat.	<arg1> Internationale Finanz-Corporation </arg1> <rel> Sitz </rel> <arg2> Washington </arg2>
Die Internationale Finanz-Corporation (engl. International Finance Corporation – IFC) mit Sitz in Washington, D.C. ist eine internationale Entwicklungsbank, die sich als Teil der Weltbankgruppe auf die Förderung privater Unternehmen spezialisiert hat.	<arg1> Internationale Finanz-Corporation </arg1> <rel> Sitz </rel> <arg2> D.C. </arg2>
Zudem würden Psiram-Gegner die Nutzer mit ähnlich benannten Angeboten wie „Psiram.de“ gezielt in die Irre führen, wie es zuvor auch schon bei EsoWatch der Fall war.	<arg1> Psiram </arg1> <rel> Fall </rel> <arg2> an </arg2>
